禁止,制限,準制限,無制限
,,,ミューズの天使
,,,バラに棲む悪霊
,,,アブソリューター
,,,大食いグール
,,,ペイルビースト
,,,リトル・キメラ
,,,スコール
,,,ロックメイス
,,,テンダネス
,,,ペンギン・ソルジャー
,,,フェアリー・ドラゴン
,,,イビル・ラット
,,,グレード・ビル
,,,フレンドシップ
,,,ブレードフライ
,,,でんきトカゲ
,,,ハイ・プリーステス
,,,双頭の雷龍
,,,ハンター・スパイダー
,,,アーマード・スターフィッシュ
,,,勇気の砂時計
,,,マリン・ビースト
,,,戦場の死装束
,,,岩石の精霊
,,,スネーク・パーム
,,,サキュバス・ナイト
,,,セイレーン
,,,泥に潜み棲むもの
,,,泉の妖精
,,,海原の女戦士
,,,キャット・レディ
,,,見習い魔女
,,,鎧ネズミ
,,,古代のトカゲ戦士
,,,月明かりの乙女
,,,誕生の天使
,,,ナイト・リザード
,,,女王の影武者
,,,冠を戴く蒼き翼
,,,トレント
,,,紅葉の女王
,,,水陸両用バグロス
,,,アシッドクロウラー
,,,イリュージョン・シープ
,,,ディスク・マジシャン
,,,フレイム・ヴァイパー
,,,ロイヤルガード
,,,キラー・ブロッブ
,,,ひょうすべ
,,,マシン・アタッカー
,,,響女
,,,鎖付きブーメラン
,,,戦士抹殺
,,,サラマンドラ
,,,メタル化・魔法反射装甲
,,,酸の嵐
,,,死のデッキ破壊ウイルス
,,,トゲトゲ神の殺虫剤
,,,神の息吹
,,,永遠の渇水
,,,シャイン・キャッスル
,,,カオスの儀式
,,,ゼラの儀式
,,,ライオンの儀式
,,,悪魔鏡の儀式
,,,ローの祈り
,,,硫酸のたまった落とし穴
,,,あまのじゃくの呪い
,,,偽物のわな
,,,チャクラの復活
,,,ジャベリンビートルの契約
,,,スカルライダーの復活
,,,要塞クジラの誓い
,,,千年原人
,,,ローガーディアン
,,,トライホーン・ドラゴン
,,,エビルナイト・ドラゴン
,,,スカルビショップ
,,,コスモクイーン
,,,チャクラ
,,,クレセント・ドラゴン
,,,メテオ・ドラゴン
,,,メテオ・ブラック・ドラゴン
,,,ファイヤー・ウイング・ペガサス
,,,ジャベリンビートル
,,,要塞クジラ
,,,スカルライダー
,,,カオス－黒魔術の儀式
,,,マジシャン・オブ・ブラックカオス
,,,スフィア・ボム 球体時限爆弾
,,,ロード・オブ・ドラゴン－ドラゴンの支配者－
,,,レッドアイズ・ブラックメタルドラゴン
,,,リボルバー・ドラゴン
,,,幻獣王ガゼル
,,,ワイバーンの戦士
,,,ドラゴンを呼ぶ笛
,,,右手に盾を左手に剣を
,,,地割れ
,,,落とし穴
,,,融合
,,,罠はずし
,,,はさみ撃ち
,,,ブルー・ポーション
,,,雷鳴
,,,魔法除去
,,,墓掘りグール
,,,灼熱の槍
,,,突風の扇
,,,未熟な密偵
,,,援軍
,,,城壁
,,,血の代償
,,,古代の遠眼鏡
,,,ホワイト・ホール
,,,墓場からの呼び声
,,,避雷針
,,,死者への手向け
,,,魂の解放
,,,陽気な葬儀屋
,,,闇からの呼び声
,,,神の宣告
,,,マジック・ジャマー
,,,盗賊の七つ道具
,,,昇天の角笛
,,,自業自得
,,,王宮のお触れ
,,,魔女狩り
,,,悪魔払い
,,,魔力の棘
,,,革命
,,,融合賢者
,,,執念の剣
,,,『攻撃』封じ
,,,薄幸の美少女
,,,追い剥ぎゴブリン
,,,細菌感染
,,,しびれ薬
,,,厳格な老魔術師
,,,幻影の壁
,,,魔法剣士ネオ
,,,邪剣男爵
,,,人喰い宝石箱
,,,デス・ソーサラー
,,,和睦の使者
,,,磁力の指輪
,,,痛み分け
,,,ドーピング
,,,大嵐
,,,グリフォンの翼
