禁止,制限,準制限,無制限
,封印されし者の右足,ハーピィの羽根帚,青眼の白龍
,封印されし者の左足,天使の施し,ホーリー・エルフ
,封印されし者の右腕,死者蘇生,サイクロプス
,封印されし者の左腕,,ベビードラゴン
,封印されしエクゾディア,,ガーゴイル
,ブラック・ホール,,グレムリン
,サンダー・ボルト,,砦を守る翼竜
,強欲な壺,,きのこマン
,心変わり,,ヘルバウンド
,遺言状,,暗黒の竜王
,聖なるバリア －ミラーフォース－,,剣竜
,,,バーバリアン２号
,,,タイホーン
,,,牛魔人
,,,炎の剣士
,,,時の魔術師
,,,デーモンの召喚
,,,邪悪なるワーム・ビースト
,,,ワイト
,,,インプ
,,,ミノタウルス
,,,ルイーズ
,,,岩窟魔人オーガ・ロック
,,,マウンテン・ウォーリアー
,,,アンデット・ウォーリアー
,,,デビル・ドラゴン
,,,二頭を持つキング・レックス
,,,ジャッジ・マン
,,,闇・道化師のサギー
,,,ブラック・マジシャン
,,,メデューサの亡霊
,,,竜騎士ガイア
,,,暗黒騎士ガイア
,,,カース・オブ・ドラゴン
,,,壺魔人
,,,エルフの剣士
,,,幻想師・ノー・フェイス
,,,カルボナーラ戦士
,,,ホーリー・ドール
,,,エレキッズ
,,,グリフォール
,,,サイガー
,,,クリッター
,,,ビック・アント
,,,昆虫人間
,,,鎧蜥蜴
,,,ヘラクレス・ビートル
,,,キラー・ビー
,,,ゴキボール
,,,吸血ノミ
,,,ラーバモス
,,,グレート・モス
,,,クリボー
,,,マンモスの墓場
,,,グレート・ホワイト
,,,オオカミ
,,,ハーピィ・レディ
,,,ハーピィ・レディ三姉妹
,,,タイガー・アックス
,,,シルバー・フォング
,,,魔物の狩人
,,,究極完全態・グレート・モス
,,,ガルーザス
,,,千年竜
,,,デビル・クラーケン
,,,海月－ジェリーフィッシュ－
,,,進化の繭
,,,海竜神
,,,岩石の巨兵
,,,人喰い植物
,,,クロコダイラス
,,,グラップラー
,,,アックス・レイダー
,,,メガザウラー
,,,ワイルド・ラプター
,,,屍を貪る竜
,,,真紅眼の黒竜
,,,闇晦ましの城
,,,カードを狩る死神
,,,闇魔界の覇王
,,,バロックス
,,,ダーク・キメラ
,,,メタル・ガーディアン
,,,カタパルト・タートル
,,,逆転の女神
,,,ケンタウロス
,,,ミノケンタウロス
,,,鎧武者斬鬼
,,,地を這うドラゴン
,,,マーダーサーカス
,,,鎧武者ゾンビ
,,,ドラゴン・ゾンビ
,,,マーダーサーカス・ゾンビ
,,,ゴースト王－パンプキング－
,,,格闘戦士アルティメーター
,,,邪炎の翼
,,,闇の仮面
,,,転職の魔鏡
,,,黒魔族のカーテン
,,,トモザウルス
,,,風の精霊
,,,シャドウ・ファイター
,,,手招きする墓場
,,,心眼の女神
,,,東方の英雄
,,,死の沈黙の天使 ドマ
,,,命を食する者
,,,ダーク・グレイ
,,,白い泥棒
,,,カオス・ウィザード
,,,ナイトメア・スコーピオン
,,,本の精霊 ホーク・ビショップ
,,,物陰の協力者
,,,地獄の裁判
,,,ドリーム・ピエロ
,,,眠れる獅子
,,,ヤマタノ竜絵巻
,,,ダーク・プラント
,,,アイアン・ハート
,,,セイント・バード
,,,戦いの神 オリオン
,,,アサシン
,,,ラムーン
,,,眠り子
,,,ウェザー・コントロール
,,,１３人目の埋葬者
,,,炎の騎士 キラー
,,,聖なる鎖
,,,死者の腕
,,,魔人デスサタン
,,,なぞの手
,,,竜魂の石像
,,,青眼の銀ゾンビ
,,,トードマスター
,,,デビルツムリ
,,,炎を操る者
,,,時の魔人 ネクロランサ
,,,風の番人 ジン
,,,魅惑の怪盗
,,,髑髏の寺院
,,,モンスター・エッグ
,,,闇を司る影
,,,ランプの魔人
,,,カクタス
,,,赤き剣のライムンドス
,,,とろける赤き影
,,,死神のドクロイゾ
,,,ファイヤー・デビル
,,,ラーバス
,,,ハードアーマー
,,,火炎草
,,,マンイーター
,,,ディッグ・ビーク
,,,マグネッツ１号
,,,マグネッツ２号
,,,悪魔の知恵
,,,サファイヤ・リサーク
,,,ゼミアの神
,,,ジャジメント・ザ・ハンド
,,,謎の傀儡師
,,,太古の壺
,,,暗黒火炎龍
,,,深淵の冥王
,,,ハープの精
,,,大王目玉
,,,アーメイル
,,,ダーク・プリズナー
,,,ハリケル
,,,魔天老
,,,ファイヤー・アイ
,,,モンスタートル
,,,キラー・ザ・クロー
,,,サターナ
,,,アルラウネ
,,,ダークシェイド
,,,仮面道化
,,,ホーリー・パワー
,,,ジャグラー
,,,コピックス
,,,ミラージュ
,,,ヘルゲート・ディーグ
,,,ファランクス
,,,フュージョニスト
,,,レッド・エース
,,,ララ・ライウーン
,,,キーメイス
,,,タートル・タイガー
,,,魔人 テラ
,,,ドローン
,,,アンモ・ナイト
,,,ゾンビランプ
,,,ハッピー・ラヴァー
,,,プチリュウ
,,,キラーパンダ
,,,デーモン・ビーバー
,,,ゴースト
,,,マキャノン
,,,ドローバ
,,,グロス
,,,スピック
,,,プチテンシ
,,,ダークキラー
,,,スティング
,,,サンダー・キッズ
,,,バビロン
,,,アクア・マドール
,,,紫炎の影武者
,,,フレイム・ゴースト
,,,ドリアード
,,,ブラック・デーモンズ・ドラゴン
,,,二つの口を持つ闇の支配者
,,,ソリテュード
,,,仮面魔道士
,,,蜘蛛男
,,,ミッドナイト・デビル
,,,轟きの大海蛇
,,,トラップ・マスター
,,,呪われし魔剣
,,,デス・ストーカー
,,,ヒトデンチャク
,,,森の屍
,,,命の砂時計
,,,レア・フィッシュ
,,,ウッド・ジョーカー
,,,魔人銃
,,,暗黒魔神 ナイトメア
,,,斬首の美女
,,,森の住人 ウダン
,,,冥界の番人
,,,はにわ
,,,ヤシの木
,,,ヴィシュワ・ランディー
,,,デス・フット
,,,闇の暗殺者
,,,運命のろうそく
,,,ウォーター・エレメント
,,,マグマン
,,,D・ナポレオン
,,,魂を狩る者
,,,ルート・ウォーター
,,,マスター・アン・エキスパート
,,,水の踊り子
,,,氷
,,,恍惚の人魚
,,,キャッツ・フェアリー
,,,エンジェル・魔女
,,,未熟な悪魔
,,,プリヴェント・ラット
,,,異次元の戦士
,,,ストーン・アルマジラー
,,,沼地の魔獣王
,,,古代魔導士
,,,月の女神 エルザェム
,,,悪魔の鏡
,,,アイルの小剣士
,,,ウォー・アース
,,,ウィング・エッグ・エルフ
,,,怒りの海王
,,,剣の女王
,,,悪の無名戦士
,,,闇にしたがう者
,,,破壊神 ヴァサーゴ
,,,ウェザ
,,,メギラス・ライト
,,,マブラス
,,,悟りの老樹
,,,緑樹の霊王
,,,陸戦型 バグロス
,,,北風と太陽
,,,ゴーゴン・エッグ
,,,プチモス
,,,キング・スモーク
,,,王座の守護者
,,,バーサーカー
,,,スリーピィ
,,,ホログラー
,,,陰陽師 タオ
,,,デビル・スネーク
,,,ゲート・キーパー
,,,黒い影の鬼王
,,,闇の芸術家
,,,チェンジ・スライム
,,,月の使者
,,,炎の魔神
,,,伝説の剣豪 MASAKI
,,,魔装騎士ドラゴネス
,,,B・プラント
,,,一眼の盾竜
,,,魔界の機械兵
,,,魔頭を持つ邪竜
,,,音女
,,,ドレイク
,,,伝説の剣
,,,闇の破神剣
,,,闇・エネルギー
,,,レーザー砲機甲鎧
,,,火器付機甲鎧
,,,エルフの光
,,,猛獣の歯
,,,はがねの甲羅
,,,魔菌
,,,銀の弓矢
,,,ドラゴンの秘宝
,,,電撃鞭
,,,サイバー・ボンテージ
,,,万華鏡－華麗なる分身－
,,,魔性の月
,,,『守備』封じ
,,,紫水晶
,,,秘術の書
,,,覚醒
,,,機械改造工場
,,,体温の上昇
,,,フォロー・ウィンド
,,,ポセイドンの力
,,,ドラゴン族・封印の壺
,,,森
,,,荒野
,,,山
,,,草原
,,,海
,,,闇
,,,モウヤンのカレー
,,,レッド・ポーション
,,,ゴブリンの秘薬
,,,天使の生き血
,,,治療の神 ディアン・ケト
,,,火の粉
,,,ファイヤー・ボール
,,,火あぶりの刑
,,,昼夜の大火事
,,,火炎地獄
,,,光の護封剣
,,,闇をかき消す光
,,,ヤランゾ
,,,女剣士カナン
,,,タクリミノス
,,,くいぐるみ
,,,メガソニック・アイ
,,,スーパー・ウォー・ライオン
,,,ヤマドラン
,,,ホーリー・ナイト・ドラゴン
,,,２人３脚ゾンビ
,,,ゼラ
,,,トビペンギン
,,,千年の盾
,,,妖精の贈りもの
,,,カオス・ソルジャー
,,,デビルズ・ミラー
,,,地雷蜘蛛
,,,シャドウ・グール
,,,迷宮の魔戦車
,,,雷魔神－サンガ
,,,風魔神－ヒューガ
,,,水魔神－スーガ
,,,ゲート・ガーディアン
,,,ダンジョン・ワーム
,,,地獄の魔物使い
,,,ガーゴイル・パワード
,,,復讐のソード・ストーカー
,,,ランプの魔精・ラ・ジーン
,,,青眼の究極竜
,,,トゥーン・アリゲーター
,,,ルード・カイザー
,,,パロット・ドラゴン
,,,ダーク・ラビット
,,,デビル・ボックス
,,,ハーピィズペット竜
,,,魔法のランプ
,,,振り子刃の拷問機械
,,,魔導騎士ギルティア
,,,TM－１ランチャースパイダー
,,,デビルゾア
,,,メタル・デビルゾア
,,,ゾーン・イーター
,,,鉄のサソリ
,,,ダンシング・エルフ
,,,エンゼル・イヤーズ
,,,レッグル
,,,ラージマウス
,,,異国の剣士
,,,水陸の帝王
,,,牛鬼
,,,モンスター・アイ
,,,レオグン
,,,シーホース
,,,キラー・マシーン
,,,カッター・ロボ
,,,機械王
,,,機械の巨兵
,,,メタル・ドラゴン
,,,カラクリ蜘蛛
,,,バット
,,,ギガテック・ウルフ
,,,機械の兵隊
,,,シャベル・クラッシャー
,,,メカ・ハンター
,,,ブロッカー
,,,ミスター・ボンバー
,,,ゴルゴイル
,,,ギガント
,,,デビル・フランケン
,,,コマンダー
,,,人造人間７号
,,,ダイス・アルマジロ
,,,天空竜
,,,サンダー・ドラゴン
,,,ストーン・ドラゴン
,,,カイザー・ドラゴン
,,,聖なる魔術師
,,,きまぐれの女神
,,,水の魔導師
,,,氷水
,,,ウンディーネ
,,,エンシェント・エルフ
,,,美しき魔物使い
,,,ウォーター・ガール
,,,ホワイト・ドルフィン
,,,深海に潜むサメ
,,,神魚
,,,レインボー・フィッシュ
,,,サイボーグ・バス
,,,アクア・ドラゴン
,,,海の竜王
,,,ツルプルン
,,,海を守る戦士
,,,アクア・スネーク
,,,シーザリオン
,,,スパイクシードラ
,,,３万年の白亀
,,,復讐のカッパ
,,,カニカブト
,,,ザリガン
,,,千年ゴーレム
,,,破壊のゴーレム
,,,ガンロック
,,,岩の戦士
,,,ストーン・ゴースト
,,,雷神の怒り
,,,地雷獣
,,,ボルト・エスカルゴ
,,,ボルト・ペンギン
,,,雷仙人
,,,ウイング・イーグル
,,,裁きの鷹
,,,スカイ・ハンター
,,,紅陽鳥
,,,青い忍者
,,,マジカル・ゴースト
,,,ソウル・ハンター
,,,エア・イーター
,,,朱雀
,,,シーカーメン
,,,ガニグモ
,,,インセクション
,,,空の昆虫兵
,,,コカローチ・ナイト
,,,クワガタ・アルファ
,,,バーグラー
,,,プラグティカル
,,,ガルヴァス
,,,コロガーシ
,,,ブークー
,,,フラワー・ウルフ
,,,レインボー・フラワー
,,,マグナム・リリィ
,,,ニードル・ボール
,,,スーパースター
,,,レインボー・マリン・マーメイド
,,,音楽家の帝王
,,,ウィルミー
,,,ヤドカリュー
,,,モリンフェン
,,,青虫
,,,竜殺者
,,,人喰い虫
,,,ドラゴヒューマン
,,,タートル・狸
,,,魔界植物
,,,プリズマン
,,,ゲール・ドグラ
,,,クレイジー・フィッシュ
,,,メカ・ザウルス
,,,ブラキオレイドス
,,,笑う花
,,,ビーン・ソルジャー
,,,キャノン・ソルジャー
,,,ブレイブ・シザー
,,,イースター島のモアイ
,,,ムカムカ
,,,サンド・ストーン
,,,岩石カメッター
,,,タートル・バード
,,,デス・バード
,,,巨大な怪鳥
,,,悪魔の調理師
,,,スター・ボーイ
,,,山の精霊
,,,首狩り魔人
,,,ミリス・レディエント
,,,クラッシュマン
,,,フレイム・ケルベロス
,,,エルディーン
,,,砂の魔女
,,,ヂェミナイ・エルフ
,,,クワガー・ヘラクレス
,,,カマキラー
,,,メカレオン
,,,メガ・サンダーボール
,,,コケ
,,,デッド・シャーク
,,,スケルエンジェル
,,,ハネハネ
,,,ナイル
,,,舌魚
,,,大砲だるま
,,,スケルゴン
,,,魚ギョ戦士
,,,骨ネズミ
,,,カエルスライム
,,,ベヒゴン
,,,ダーク・エルフ
,,,ワイバーン
,,,マタンゴ
,,,バーバリアン１号
,,,さまよえる亡者
,,,鋼鉄の巨神像
,,,ポット・ザ・トリック
,,,オシロ・ヒーロー
,,,異次元からの侵略者
,,,レッサー・ドラゴン
,,,ニードルワーム
,,,屋根裏の物の怪
,,,金色の魔象
,,,黒き人食い鮫
,,,ヨルムンガルド
,,,魔界のイバラ
,,,恐竜人
,,,生き血をすするもの
,,,トラコドン
,,,密林の黒竜王
,,,裁きを下す女帝
,,,ベビー・ティーレックス
,,,黒き森のウィッチ
,,,ツンドラの大蠍
,,,カラス天狗
,,,レオ・ウィザード
,,,深淵に咲く花
,,,パトロール・ロボ
,,,タクヒ
,,,封印の鎖
,,,ドッペルゲンガー
,,,モン・ラーバス
,,,命ある花瓶
,,,テンタクル・プラント
,,,くちばしヘビ
,,,メタモルポット
